model,target,location_case,data_path,target_transform,n_features,train_rmse_norm,train_r2_norm,test_rmse_norm,test_r2_norm,train_rmse_original,train_r2_original,test_rmse_original,test_r2_original,used_columns,drop_outliers,outlier_quantile,n_samples
dt,price_per_sqft,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0129951632290726,0.5022136732408367,0.0043227479521515,0.3318280095339898,292.83168666189977,0.5022136732408369,97.40836275229586,0.3318280095339898,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price_per_sqft,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0129951632290726,0.5022136732408367,0.0043227479521515,0.3318280095339897,292.83168666189977,0.5022136732408369,97.40836275229589,0.3318280095339897,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price_per_sqft,xyz,data/raw/latlong_added.csv,minmax_0_1,17,0.0130730650344061,0.4962276482883531,0.0182800192295287,-10.948729658272946,294.5871180210673,0.4962276482883531,411.9200943331947,-10.948729658272946,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|age|was_renovated|has_basement|log_sqft_lot|x|y|z|age_bin,,,
dt,price_per_sqft,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0129951632290726,0.5022136732408367,0.0043227479521515,0.3318280095339897,292.83168666189977,0.5022136732408369,97.40836275229589,0.3318280095339897,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
mlp,price_per_sqft,address_encoded,data/raw/latlong_added.csv,minmax_0_1,28,0.0185033479043735,-0.0092066755027542,0.005630596478252,-0.1336454452728088,416.95256111276177,-0.0092066809826409,126.87929251309988,-0.1336455180953013,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|city|age|log_sqft_lot|zipcode|city_freq|zipcode_freq|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,,,
mlp,price_per_sqft,xyz,data/raw/latlong_added.csv,minmax_0_1,27,0.021693783344852,-0.3872351433993573,0.0124524650119047,-4.544713351497368,488.8455075519153,-0.3872351423010094,280.6025798844946,-4.544713338005519,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|x|y|z|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,,,
mlp,price,xyz,data/raw/latlong_added.csv,minmax_0_1,27,0.0206361898287364,0.2463020977513749,0.0091402576067135,0.4365629476877944,548716.2870622731,0.246302099080515,243039.4489616808,0.4365629514009315,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|x|y|z|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,,,
mlp,price,xyz,data/raw/latlong_added.csv,minmax_0_1,27,0.0205462602865175,0.2207449487497927,0.0110877656810102,0.491180016466628,546325.061287483,0.2207449479824657,294823.6912388881,0.4911800103197733,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|x|y|z|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,,,
mlp,price,none,data/raw/latlong_added.csv,minmax_0_1,24,0.0232373423683862,0.0443228735975923,0.0130939690625849,-0.1563016686276537,617880.934794546,0.0443228698262555,348168.6394176274,-0.1563016822009357,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,False,0.99,4140.0
mlp,price,none,data/raw/latlong_added.csv,minmax_0_1,24,0.0928266630777686,0.6237276955607942,0.1071969745174704,0.5164514216260205,178691.32598388757,0.6237276974172608,206354.17452692144,0.5164514282772701,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,True,0.99,4049.0
