"3672","12000-12098 SE 71st Pl, Newcastle, WA, 98056","Match","Non_Exact","12098 SE 71ST PL, NEWCASTLE, WA, 98056","-122.179912018237,47.538960666001","239778843","L"
"3673","5433 37th Ave SW, Seattle, WA, 98126","Match","Exact","5433 37TH AVE SW, SEATTLE, WA, 98126","-122.379059583285,47.553000418611","239769183","R"
"1011","4911 NE 65th St, Seattle, WA, 98115","Match","Exact","4911 NE 65TH ST, SEATTLE, WA, 98115","-122.27560451124,47.675718077863","186719905","R"
"2342","2536 1st Ave W, Seattle, WA, 98119","Match","Exact","2536 1ST AVE W, SEATTLE, WA, 98119","-122.358151865153,47.64211101985","186581299","R"
"1010","2003 NE 117th St, Seattle, WA, 98125","Match","Exact","2003 NE 117TH ST, SEATTLE, WA, 98125","-122.307040456984,47.713868431324","186584514","R"
"2341","11229 37th Ave SW, Seattle, WA, 98146","Match","Exact","11229 37TH AVE SW, SEATTLE, WA, 98146","-122.379587293274,47.502547815473","239774715","R"
"2340","15871 37th Ave NE, Lake Forest Park, WA, 98155","Match","Exact","15871 37TH AVE NE, LAKE FOREST PARK, WA, 98155","-122.288992154681,47.743745894749","239782677","L"
"1008","20303 SE 40th St, Sammamish, WA, 98075","Match","Exact","20303 SE 40TH ST, SAMMAMISH, WA, 98075","-122.06855566301,47.57395946315","186616036","R"
"2339","14821 272nd Pl NE, Duvall, WA, 98019","Match","Exact","14821 272ND PL NE, DUVALL, WA, 98019","-121.974158608906,47.734700019607","633781499","R"
"1007","6736 40th Ave SW, Seattle, WA, 98136","Match","Exact","6736 40TH AVE SW, SEATTLE, WA, 98136","-122.383097302023,47.542618613678","186661630","L"
"2338","5206 S 142nd St, Tukwila, WA, 98168","Match","Exact","5206 S 142ND ST, TUKWILA, WA, 98168","-122.269181533061,47.476266679089","186627235","L"
"1006","508 D St SE, Auburn, WA, 98002","Match","Exact","508 D ST SE, AUBURN, WA, 98002","-122.224032534641,47.302714784321","239776432","L"
"2337","2206 Sahalee Dr E, Sammamish, WA, 98074","Match","Exact","2206 SAHALEE DR E, SAMMAMISH, WA, 98074","-122.05230194759,47.631156323779","658293043","L"
"1005","5923 Beach Dr SW, Seattle, WA, 98136","Match","Exact","5923 BEACH DR SW, SEATTLE, WA, 98136","-122.397787208995,47.548564742097","647863359","R"
"2336","14200-14230 77th Ave NE, Kirkland, WA, 98034","Match","Non_Exact","14230 77TH AVE NE, KIRKLAND, WA, 98034","-122.238001830292,47.731096296468","186598204","R"
"1004","29211 7th Pl S, Federal Way, WA, 98003","Match","Exact","29211 7TH PL S, FEDERAL WAY, WA, 98003","-122.326617938129,47.340202027233","186648565","R"
"2335","4513 186th Ave SE, Issaquah, WA, 98027","Match","Exact","4513 186TH AVE SE, ISSAQUAH, WA, 98027","-122.09190860039,47.564406638558","658262830","L"
"1003","34711 5th Ave SW, Federal Way, WA, 98023","Match","Exact","34711 5TH AVE SW, FEDERAL WAY, WA, 98023","-122.341986359525,47.29032561346","186707094","R"
"2334","3617 48th Ave SW, Seattle, WA, 98116","Match","Exact","3617 48TH AVE SW, SEATTLE, WA, 98116","-122.39350750249,47.571884466104","186660892","R"
"1002","27209 110th Ave SE, Kent, WA, 98030","Match","Exact","27209 110TH AVE SE, KENT, WA, 98030","-122.19442199649,47.357856693881","239775511","R"
"2333","10526 NE 139th St, Kirkland, WA, 98034","Match","Exact","10526 NE 139TH ST, KIRKLAND, WA, 98034","-122.200208030833,47.724698756353","186599443","L"
"1001","921 4th Ave N, Kent, WA, 98032","Match","Exact","921 4TH AVE N, KENT, WA, 98032","-122.23740380491,47.390844686797","625295065","L"
"2332","22401 NE 25th Way, Sammamish, WA, 98074","Match","Exact","22401 NE 25TH WAY, SAMMAMISH, WA, 98074","-122.040658425152,47.631938253581","186646020","L"
"3663","16831 NE 176th St, Woodinville, WA, 98072","Match","Exact","16831 NE 176TH ST, WOODINVILLE, WA, 98072","-122.114278146391,47.754830337662","239777342","R"
"3664","7354 27th Ave SW, Seattle, WA, 98126","Match","Exact","7354 27TH AVE SW, SEATTLE, WA, 98126","-122.367023249367,47.536536529218","186591099","L"
"3665","13300 NE 186th St, Woodinville, WA, 98072","Match","Exact","13300 NE 186TH ST, WOODINVILLE, WA, 98072","-122.161774364798,47.76262931935","637524070","L"
"3666","12362 76th Ct NE, Kirkland, WA, 98034","Match","Exact","12362 76TH CT NE, KIRKLAND, WA, 98034","-122.238988339111,47.711557256554","186942000","L"
"3667","1310 G St SE, Auburn, WA, 98002","Match","Exact","1310 G ST SE, AUBURN, WA, 98002","-122.219407113953,47.296451380028","186655943","L"
"3668","1602 32nd Ave, Seattle, WA, 98122","Match","Exact","1602 32ND AVE, SEATTLE, WA, 98122","-122.29126350741,47.615337164366","186588663","R"
"3669","7209 SE 70th St, Newcastle, WA, 98056","No_Match"
"1009","3115 S Norman St, Seattle, WA, 98144","Match","Exact","3115 S NORMAN ST, SEATTLE, WA, 98144","-122.292069906056,47.593417940302","186594599","R"
"3680","2714 SW 164th Pl, Burien, WA, 98166","Match","Exact","2714 SW 164TH PL, BURIEN, WA, 98166","-122.36733439406,47.455925291856","239773397","R"
"3681","1103 26th Ave, Seattle, WA, 98122","Match","Exact","1103 26TH AVE, SEATTLE, WA, 98122","-122.298909231673,47.611626593318","186593063","L"
"3682","15200 287th Ave NE, Duvall, WA, 98019","Match","Exact","15200 287TH AVE NE, DUVALL, WA, 98019","-121.95499227378,47.737175486473","186937380","R"
"3683","Burke-Gilman Trail, Seattle, WA, 98125","No_Match"
"3684","4530 51st Ave NE, Seattle, WA, 98105","Match","Exact","4530 51ST AVE NE, SEATTLE, WA, 98105","-122.272393568147,47.661853036526","186588375","R"
"1022","1224 N 27th Pl, Renton, WA, 98056","Match","Exact","1224 N 27TH PL, RENTON, WA, 98056","-122.203708499625,47.516286335687","635743183","L"
"2353","681 Ilwaco Ave NE, Renton, WA, 98059","Match","Exact","681 ILWACO AVE NE, RENTON, WA, 98059","-122.149925823398,47.493599033402","641005136","L"
"1021","20525 NE 26th St, Sammamish, WA, 98074","Match","Exact","20525 NE 26TH ST, SAMMAMISH, WA, 98074","-122.064438731624,47.632995056955","186940498","R"
"2352","9129 Nye Ave SE, Snoqualmie, WA, 98065","Match","Exact","9129 NYE AVE SE, SNOQUALMIE, WA, 98065","-121.884378317486,47.518231056173","651299829","L"
"1020","14007 35th Ave NE, Seattle, WA, 98125","Match","Exact","14007 35TH AVE NE, SEATTLE, WA, 98125","-122.291091513311,47.730190609618","186577034","L"
"2351","5011-5021 Delridge Way SW, Seattle, WA, 98106","Match","Non_Exact","5021 DELRIDGE WAY SW, SEATTLE, WA, 98106","-122.363006794245,47.557191594257","186590917","R"
"2350","976 Jericho Pl NE, Renton, WA, 98059","Match","Exact","976 JERICHO PL NE, RENTON, WA, 98059","-122.147855355401,47.498732321638","628011958","R"
"1019","4031 W Ames Lake Dr NE, Redmond, WA, 98053","Match","Exact","4031 W AMES LAKE DR NE, REDMOND, WA, 98053","-121.959886260326,47.643746096334","631823035","L"
"1018","1917 3rd Ave W, Seattle, WA, 98119","Match","Exact","1917 3RD AVE W, SEATTLE, WA, 98119","-122.36105107542,47.636492034991","186581977","L"
"2349","5609 11th Ave NW, Seattle, WA, 98107","Match","Exact","5609 11TH AVE NW, SEATTLE, WA, 98107","-122.37084266831,47.669546835853","186577524","L"
"1017","10637 SE 29th St, Beaux Arts Village, WA, 98004","Match","Non_Exact","10637 SE 29TH ST, BEAUX ARTS, WA, 98004","-122.197961842989,47.584206074175","186607826","R"
"2348","23112 NE 127th Way, Redmond, WA, 98053","Match","Exact","23112 NE 127TH WAY, REDMOND, WA, 98053","-122.03042425159,47.713221946353","627455225","R"
"1016","9413 34th Ave SW, Seattle, WA, 98126","Match","Exact","9413 34TH AVE SW, SEATTLE, WA, 98126","-122.375549732728,47.519107673383","186578256","R"
"2347","9115 227 Ave NE, Redmond, WA, 98053","Match","Exact","9115 227TH AVE NE, REDMOND, WA, 98053","-122.036909961162,47.681921755335","630036551","R"
"1015","26272 142nd Ave SE, Kent, WA, 98042","Match","Exact","26272 142ND AVE SE, KENT, WA, 98042","-122.152107150364,47.366440168367","186654625","L"
"2346","3040 SW Avalon Way, Seattle, WA, 98126","Match","Exact","3040 SW AVALON WAY, SEATTLE, WA, 98126","-122.371458080528,47.566623760835","186577996","R"
"1014","3627 48th Ave SW, Seattle, WA, 98116","Match","Exact","3627 48TH AVE SW, SEATTLE, WA, 98116","-122.393508812394,47.571799323676","186660892","R"
