timestamp,model,target,variant,split,metric,value,std
2026-06-08T22:53:21,mlp,price,tgt,train,RMSE,170702.61490636592,11936.335658345357
2026-06-08T22:53:21,mlp,price,tgt,train,MAE,110105.85185990382,11854.715361200106
2026-06-08T22:53:21,mlp,price,tgt,train,MAPE,26.09033453193279,3.8657195939377855
2026-06-08T22:53:21,mlp,price,tgt,train,R2,0.7555758336903332,0.03627339224943262
2026-06-08T22:53:21,mlp,price,tgt,train,Adjusted_R2,0.7542976268801136,0.036463040193805
2026-06-08T22:53:21,mlp,price,tgt,test,RMSE,179372.93277379425,17297.01153376092
2026-06-08T22:53:21,mlp,price,tgt,test,MAE,114195.72604858856,13135.350199772452
2026-06-08T22:53:21,mlp,price,tgt,test,MAPE,26.76289434375468,3.1227596835090243
2026-06-08T22:53:21,mlp,price,tgt,test,R2,0.7292603374333313,0.04374555364016715
2026-06-08T22:53:21,mlp,price,tgt,test,Adjusted_R2,0.7235013940695032,0.044676089071493445
2026-06-08T22:53:24,dt,price,tgt,train,RMSE,146760.50209724298,3997.35497021846
2026-06-08T22:53:24,dt,price,tgt,train,MAE,92244.8521943998,1450.8117846961977
2026-06-08T22:53:24,dt,price,tgt,train,MAPE,19.53328272555738,0.28750566528924465
2026-06-08T22:53:24,dt,price,tgt,train,R2,0.82011344289309,0.010237835456427452
2026-06-08T22:53:24,dt,price,tgt,train,Adjusted_R2,0.8191727296953104,0.010291365075496741
2026-06-08T22:53:24,dt,price,tgt,test,RMSE,205789.8043346292,17287.821692400008
2026-06-08T22:53:24,dt,price,tgt,test,MAE,113099.46170140528,4069.8395708963053
2026-06-08T22:53:24,dt,price,tgt,test,MAPE,22.388235157016418,1.2497599182094674
2026-06-08T22:53:24,dt,price,tgt,test,R2,0.6407689675682147,0.07033044527858087
2026-06-08T22:53:24,dt,price,tgt,test,Adjusted_R2,0.6331277423990285,0.07182642602495386
2026-06-08T22:53:36,rf,price,tgt,train,RMSE,80313.96722412438,3417.6711578681475
2026-06-08T22:53:36,rf,price,tgt,train,MAE,38944.08053175772,771.714648339148
2026-06-08T22:53:36,rf,price,tgt,train,MAPE,8.0062930291163,0.232456827500716
2026-06-08T22:53:36,rf,price,tgt,train,R2,0.9460412978480626,0.004941460279855627
2026-06-08T22:53:36,rf,price,tgt,train,Adjusted_R2,0.9457591228127449,0.0049672893955467565
2026-06-08T22:53:36,rf,price,tgt,test,RMSE,168418.144831253,14741.080530216796
2026-06-08T22:53:36,rf,price,tgt,test,MAE,88502.77816318844,3959.571906028242
2026-06-08T22:53:36,rf,price,tgt,test,MAPE,17.671025725148514,1.219570546357468
2026-06-08T22:53:36,rf,price,tgt,test,R2,0.7592518363207457,0.04724249292046012
2026-06-08T22:53:36,rf,price,tgt,test,Adjusted_R2,0.7541310130596663,0.04824649061189995
2026-06-08T22:53:40,mgbdt,price,tgt,train,RMSE,124549.3920096688,2561.485284792172
2026-06-08T22:53:40,mgbdt,price,tgt,train,MAE,76125.47320253281,396.67793940638154
2026-06-08T22:53:40,mgbdt,price,tgt,train,MAPE,16.378294444476886,0.3874711271862302
2026-06-08T22:53:40,mgbdt,price,tgt,train,R2,0.8704281731492765,0.00695267646841648
2026-06-08T22:53:40,mgbdt,price,tgt,train,Adjusted_R2,0.8697505822924427,0.006988986291973943
2026-06-08T22:53:40,mgbdt,price,tgt,test,RMSE,164859.96609694845,14164.373438935476
2026-06-08T22:53:40,mgbdt,price,tgt,test,MAE,90390.12648887432,3547.5259592635616
2026-06-08T22:53:40,mgbdt,price,tgt,test,MAPE,18.583239607739156,1.0957740829312093
2026-06-08T22:53:40,mgbdt,price,tgt,test,R2,0.7697216224037239,0.04239251272265344
2026-06-08T22:53:40,mgbdt,price,tgt,test,Adjusted_R2,0.7648234791795737,0.043293416759915715
2026-06-08T22:54:51,ensemble_mlp,price,cat,train,RMSE,211698.23942081459,1244.8005381149644
2026-06-08T22:54:51,ensemble_mlp,price,cat,train,MAE,138754.81645121673,724.6406634742251
2026-06-08T22:54:51,ensemble_mlp,price,cat,train,MAPE,30.057036256002544,0.7193778536789431
2026-06-08T22:54:51,ensemble_mlp,price,cat,train,R2,0.6259808909811301,0.00785745143701682
2026-06-08T22:54:51,ensemble_mlp,price,cat,train,Adjusted_R2,0.6243716163165509,0.007891119661625942
2026-06-08T22:54:51,ensemble_mlp,price,cat,test,RMSE,221438.69208972825,13885.757098650769
2026-06-08T22:54:51,ensemble_mlp,price,cat,test,MAE,143583.14167170407,4027.90553962132
2026-06-08T22:54:51,ensemble_mlp,price,cat,test,MAPE,30.924333240121776,2.361776992758806
2026-06-08T22:54:51,ensemble_mlp,price,cat,test,R2,0.5882094097318296,0.04652040984281399
2026-06-08T22:54:51,ensemble_mlp,price,cat,test,Adjusted_R2,0.5810229479891308,0.04733143056443815
2026-06-08T22:54:54,ensemble_dt,price,cat,train,RMSE,180055.35112014608,4683.042810105342
2026-06-08T22:54:54,ensemble_dt,price,cat,train,MAE,115841.10323574461,2129.032742633476
2026-06-08T22:54:54,ensemble_dt,price,cat,train,MAPE,24.7631052858111,0.47225899555251005
2026-06-08T22:54:54,ensemble_dt,price,cat,train,R2,0.7292159341550746,0.015594664948083599
2026-06-08T22:54:54,ensemble_dt,price,cat,train,Adjusted_R2,0.7280508442533109,0.015661720869252178
2026-06-08T22:54:54,ensemble_dt,price,cat,test,RMSE,217127.17356922198,11779.630473267525
2026-06-08T22:54:54,ensemble_dt,price,cat,test,MAE,131874.8143064282,3033.913410220809
2026-06-08T22:54:54,ensemble_dt,price,cat,test,MAPE,27.7818428573206,1.2596762547097686
2026-06-08T22:54:54,ensemble_dt,price,cat,test,R2,0.6048379638711919,0.03397850430769423
2026-06-08T22:54:54,ensemble_dt,price,cat,test,Adjusted_R2,0.5979415595389039,0.03457201072968626
2026-06-08T22:55:06,ensemble_rf,price,cat,train,RMSE,87498.3589720666,3840.7936203947916
2026-06-08T22:55:06,ensemble_rf,price,cat,train,MAE,45359.949604426016,1032.8778737757661
2026-06-08T22:55:06,ensemble_rf,price,cat,train,MAPE,9.553965894653347,0.23507600594367226
2026-06-08T22:55:06,ensemble_rf,price,cat,train,R2,0.9359573038640872,0.00594157471624339
2026-06-08T22:55:06,ensemble_rf,price,cat,train,Adjusted_R2,0.9356817508224134,0.005967127532892363
2026-06-08T22:55:06,ensemble_rf,price,cat,test,RMSE,174194.5952075274,18482.829333862734
2026-06-08T22:55:06,ensemble_rf,price,cat,test,MAE,97500.35991275213,5585.010764603085
2026-06-08T22:55:06,ensemble_rf,price,cat,test,MAPE,20.18090415695222,1.4022349982484372
2026-06-08T22:55:06,ensemble_rf,price,cat,test,R2,0.7430831235648532,0.05248136958456405
2026-06-08T22:55:06,ensemble_rf,price,cat,test,Adjusted_R2,0.7385995155594058,0.05339692210968097
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,train,RMSE,152818.7830875458,3622.4137008103216
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,train,MAE,100331.72843131897,1526.434057213001
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,train,MAPE,21.80479016199506,0.3745572528030024
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,train,R2,0.8049058803716136,0.011450881539384032
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,train,Adjusted_R2,0.8040664602491846,0.011500087101951747
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,test,RMSE,187580.11713405157,17936.205085271908
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,test,MAE,114061.34195268588,4986.995607181451
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,test,MAPE,24.263090217873167,1.8065893770961026
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,test,R2,0.7031092286056734,0.051164504080324774
2026-06-08T22:55:11,ensemble_mgbdt,price,cat,test,Adjusted_R2,0.6979280261448141,0.05205675921082053
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,train,RMSE,180714.69768308345,4988.679815040739
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,train,MAE,104859.73555177715,847.3265737136787
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,train,MAPE,21.17309978373833,0.8746409362310298
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,train,R2,0.7273775731859895,0.013481524460473536
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,train,Adjusted_R2,0.7261204037612956,0.013543597665255995
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,test,RMSE,187600.48976602903,14225.768348001493
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,test,MAE,108702.92765038923,3929.527002269408
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,test,MAPE,21.782297148346267,1.456764084898289
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,test,R2,0.7037854658475938,0.04332567857185263
2026-06-08T22:56:51,ensemble_mlp,price,coord_only,test,Adjusted_R2,0.6982398294929464,0.04413652578625983
2026-06-08T22:56:54,ensemble_dt,price,coord_only,train,RMSE,152206.0413762322,2819.752840065746
2026-06-08T22:56:54,ensemble_dt,price,coord_only,train,MAE,90494.95726547051,1267.199317264755
2026-06-08T22:56:54,ensemble_dt,price,coord_only,train,MAPE,18.681015057326952,0.20664852685710006
2026-06-08T22:56:54,ensemble_dt,price,coord_only,train,R2,0.8066448429288707,0.006667241940559461
2026-06-08T22:56:54,ensemble_dt,price,coord_only,train,Adjusted_R2,0.8057532032605135,0.00669796880547847
2026-06-08T22:56:54,ensemble_dt,price,coord_only,test,RMSE,181061.07695645126,14760.730216059226
2026-06-08T22:56:54,ensemble_dt,price,coord_only,test,MAE,103569.88749939408,4676.596891174899
2026-06-08T22:56:54,ensemble_dt,price,coord_only,test,MAPE,20.974730614287076,1.2854155430495116
2026-06-08T22:56:54,ensemble_dt,price,coord_only,test,R2,0.7228154637719497,0.048656232273923565
2026-06-08T22:56:54,ensemble_dt,price,coord_only,test,Adjusted_R2,0.717626224086317,0.049566174712128076
2026-06-08T22:57:12,ensemble_rf,price,coord_only,train,RMSE,77844.69581868804,3207.5785055920387
2026-06-08T22:57:12,ensemble_rf,price,coord_only,train,MAE,37893.663628532246,790.3489591324281
2026-06-08T22:57:12,ensemble_rf,price,coord_only,train,MAPE,8.034397922693675,0.24080409557591317
2026-06-08T22:57:12,ensemble_rf,price,coord_only,train,R2,0.9493232405468236,0.004465073707253573
2026-06-08T22:57:12,ensemble_rf,price,coord_only,train,Adjusted_R2,0.9490895499949629,0.004485653623178307
2026-06-08T22:57:12,ensemble_rf,price,coord_only,test,RMSE,154087.3994707709,17672.759213823614
2026-06-08T22:57:12,ensemble_rf,price,coord_only,test,MAE,84229.10172788268,4831.079579615376
2026-06-08T22:57:12,ensemble_rf,price,coord_only,test,MAPE,17.37771636624886,1.27485637627636
2026-06-08T22:57:12,ensemble_rf,price,coord_only,test,R2,0.7978561795813798,0.04739176495673077
2026-06-08T22:57:12,ensemble_rf,price,coord_only,test,Adjusted_R2,0.794071832446493,0.04827837424110945
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,train,RMSE,131591.2192134873,3807.245113466574
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,train,MAE,80286.48406447459,1456.268901943699
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,train,MAPE,16.904774262923688,0.41720493789679325
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,train,R2,0.8553208599419679,0.009519224379191817
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,train,Adjusted_R2,0.8546536864791261,0.009563094989521953
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,test,RMSE,169400.71529627714,18573.289658815782
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,test,MAE,94593.48613222319,4347.435330013289
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,test,MAPE,19.295690064411012,1.2802365632050114
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,test,R2,0.7573670758479946,0.048347396194090675
2026-06-08T22:57:17,ensemble_mgbdt,price,coord_only,test,Adjusted_R2,0.7528245914893539,0.04925240367828177
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,train,RMSE,157177.67716900635,3243.8743666497885
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,train,MAE,92274.23313830627,1961.273950312061
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,train,MAPE,19.268425821815367,0.9751394530581795
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,train,R2,0.7938001643014541,0.00796572099392405
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,train,Adjusted_R2,0.792912956901517,0.007999974585794954
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,test,RMSE,171009.95367347836,17884.598702403306
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,test,MAE,98579.4313993046,4850.867328577151
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,test,MAPE,20.24957711966343,0.7080161749100815
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,test,R2,0.7530751575684234,0.046612161710454236
2026-06-08T22:58:22,ensemble_mlp,price,tgt_only,test,Adjusted_R2,0.7487659191007232,0.04742528214072484
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,train,RMSE,139206.34988824025,4690.15885316534
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,train,MAE,86055.78784867495,2284.710736131419
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,train,MAPE,18.074440093725133,0.3756488086228017
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,train,R2,0.8380340271936332,0.012039089244071887
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,train,Adjusted_R2,0.8373371461996477,0.012090839901262218
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,test,RMSE,181464.87506437037,14463.051893156155
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,test,MAE,101566.89628277978,4116.028512945312
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,test,MAPE,20.514567834641213,1.2095541367181106
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,test,R2,0.7204647087056465,0.052648066407665554
2026-06-08T22:58:25,ensemble_dt,price,tgt_only,test,Adjusted_R2,0.7155864207294391,0.053566114403507996
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,train,RMSE,81666.57792357505,3252.0635780133666
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,train,MAE,40804.31152200203,794.0867789182245
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,train,MAPE,8.514395085748633,0.18432713179349944
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,train,R2,0.9442180891906748,0.004920815538766479
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,train,Adjusted_R2,0.9439780797346458,0.004941974080726559
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,test,RMSE,163031.13024187039,17199.41792469205
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,test,MAE,89037.85841841914,4608.616458268039
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,test,MAPE,18.014182283354522,1.102442913606921
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,test,R2,0.7736105963623312,0.051824044981436376
2026-06-08T22:58:37,ensemble_rf,price,tgt_only,test,Adjusted_R2,0.7696598500578593,0.052727627505340297
2026-06-08T22:58:42,ensemble_mgbdt,price,tgt_only,train,RMSE,128214.51501577387,4406.890177320479
2026-06-08T22:58:42,ensemble_mgbdt,price,tgt_only,train,MAE,78531.8570160691,1144.466454344482
2026-06-08T22:58:42,ensemble_mgbdt,price,tgt_only,train,MAPE,16.62060984442389,0.22500613934157981
2026-06-08T22:58:42,ensemble_mgbdt,price,tgt_only,train,R2,0.862598468834129,0.010440269721141607
2026-06-08T22:58:42,ensemble_mgbdt,price,tgt_only,train,Adjusted_R2,0.8620072788195496,0.010485159863198822
2026-06-08T22:58:42,ensemble_mgbdt,price,tgt_only,test,RMSE,165578.8767706401,20829.860150950863
2026-06-08T22:58:42,ensemble_mgbdt,price,tgt_only,test,MAE,91544.30295481358,5207.476245285559
2026-06-08T22:58:42,ensemble_mgbdt,price,tgt_only,test,MAPE,18.794213491336727,1.3130264515704233
2026-06-08T22:58:42,ensemble_mgbdt,price,tgt_only,test,R2,0.766181991459325,0.056554155563753
